w,h,c,n,k,f_w,f_h,pad_w,pad_h,stride_w,stride_h,precision,fwd_time(usec),fwd_algo,pad_kernels
16,16,256,1,32,2,2,1,1,1,1,float,45,IMPLICIT_GEMM,0.0
16,16,256,1,64,2,2,1,1,1,1,float,45,IMPLICIT_PRECOMP_GEMM,0.0
16,16,256,2,1,2,2,1,1,1,1,float,27,FFT,0.0
16,16,256,2,2,2,2,1,1,1,1,float,117,IMPLICIT_GEMM,0.0
16,16,256,2,4,2,2,1,1,1,1,float,117,IMPLICIT_GEMM,0.0
16,16,256,2,8,2,2,1,1,1,1,float,86,IMPLICIT_PRECOMP_GEMM,0.0
16,16,256,2,16,2,2,1,1,1,1,float,94,IMPLICIT_PRECOMP_GEMM,0.0
16,16,256,2,32,2,2,1,1,1,1,float,45,IMPLICIT_PRECOMP_GEMM,0.0
16,16,256,2,64,2,2,1,1,1,1,float,47,IMPLICIT_GEMM,0.0
16,16,256,4,1,2,2,1,1,1,1,float,47,FFT,0.0
16,16,256,4,2,2,2,1,1,1,1,float,80,IMPLICIT_PRECOMP_GEMM,0.0
16,16,256,4,4,2,2,1,1,1,1,float,51,IMPLICIT_PRECOMP_GEMM,0.0
16,16,256,4,8,2,2,1,1,1,1,float,51,IMPLICIT_PRECOMP_GEMM,0.0
16,16,256,4,16,2,2,1,1,1,1,float,52,IMPLICIT_PRECOMP_GEMM,0.0
16,16,256,4,32,2,2,1,1,1,1,float,48,IMPLICIT_GEMM,0.0
16,16,256,4,64,2,2,1,1,1,1,float,73,IMPLICIT_GEMM,0.0
16,16,256,8,1,2,2,1,1,1,1,float,66,IMPLICIT_PRECOMP_GEMM,0.0
16,16,256,8,2,2,2,1,1,1,1,float,67,IMPLICIT_GEMM,0.0
16,16,256,8,4,2,2,1,1,1,1,float,67,IMPLICIT_GEMM,0.0
16,16,256,8,8,2,2,1,1,1,1,float,67,IMPLICIT_GEMM,0.0
16,16,256,8,16,2,2,1,1,1,1,float,68,IMPLICIT_GEMM,0.0
16,16,256,8,32,2,2,1,1,1,1,float,61,IMPLICIT_PRECOMP_GEMM,0.0
16,16,256,8,64,2,2,1,1,1,1,float,83,IMPLICIT_PRECOMP_GEMM,0.0
16,16,256,16,1,2,2,1,1,1,1,float,141,FFT,0.0
16,16,256,16,2,2,2,1,1,1,1,float,83,IMPLICIT_GEMM,0.0
16,16,256,16,4,2,2,1,1,1,1,float,84,IMPLICIT_GEMM,0.0
16,16,256,16,8,2,2,1,1,1,1,float,85,IMPLICIT_GEMM,0.0
16,16,256,16,16,2,2,1,1,1,1,float,89,IMPLICIT_GEMM,0.0
16,16,256,16,32,2,2,1,1,1,1,float,76,IMPLICIT_PRECOMP_GEMM,0.0
